"﻿AirportID";"Name";"City";"Country";"IATA";"ICAO";"Latitude";"Longitude";"Altitude"
1;"Goroka Airport";"Goroka";"Papua New Guinea";"GKA";"AYGA";-6.08169;145.392;5282
2;"Madang Airport";"Madang";"Papua New Guinea";"MAG";"AYMD";-5.20708;145.789;20
3;"Mount Hagen Kagamuga Airport";"Mount Hagen";"Papua New Guinea";"HGU";"AYMH";-5.82679;144.296;5388
4;"Nadzab Airport";"Nadzab";"Papua New Guinea";"LAE";"AYNZ";-6.5698;146.726;239
5;"Port Moresby Jacksons International Airport";"Port Moresby";"Papua New Guinea";"POM";"AYPY";-9.44338;147.22;146
6;"Wewak International Airport";"Wewak";"Papua New Guinea";"WWK";"AYWK";-3.58383;143.669;19
7;"Narsarsuaq Airport";"Narssarssuaq";"Greenland";"UAK";"BGBW";61.1605;-45.426;112
8;"Godthaab / Nuuk Airport";"Godthaab";"Greenland";"GOH";"BGGH";64.1909;-51.6781;283
9;"Kangerlussuaq Airport";"Sondrestrom";"Greenland";"SFJ";"BGSF";67.0122;-50.7116;165
10;"Thule Air Base";"Thule";"Greenland";"THU";"BGTL";76.5312;-68.7032;251
11;"Akureyri Airport";"Akureyri";"Iceland";"AEY";"BIAR";65.66;-18.0727;6
12;"Egilsstaðir Airport";"Egilsstadir";"Iceland";"EGS";"BIEG";65.2833;-14.4014;76
13;"Hornafjörður Airport";"Hofn";"Iceland";"HFN";"BIHN";64.2956;-15.2272;24
14;"Húsavík Airport";"Husavik";"Iceland";"HZK";"BIHU";65.9523;-17.426;48
15;"Ísafjörður Airport";"Isafjordur";"Iceland";"IFJ";"BIIS";66.0581;-23.1353;8
16;"Keflavik International Airport";"Keflavik";"Iceland";"KEF";"BIKF";63.985;-22.6056;171
17;"Patreksfjörður Airport";"Patreksfjordur";"Iceland";"PFJ";"BIPA";65.5558;-23.965;11
18;"Reykjavik Airport";"Reykjavik";"Iceland";"RKV";"BIRK";64.13;-21.9406;48
19;"Siglufjörður Airport";"Siglufjordur";"Iceland";"SIJ";"BISI";66.1333;-18.9167;10
20;"Vestmannaeyjar Airport";"Vestmannaeyjar";"Iceland";"VEY";"BIVM";63.4243;-20.2789;326
